# Knapsack Capacity
220

# Items: Weight Value
14 91
23 56
8 102
45 120
32 45
11 33
56 180
21 42
4 40
19 95
65 130
3 15
42 84
29 116
17 34
50 250
13 26
38 76
22 110
7 21
60 120
16 48
35 70
41 123
9 45
28 56
53 159
12 24
31 62
44 176
2 20
39 78
25 50
49 147
10 40
57 114
18 90
34 68
46 138
6 18
22 88
15 45
48 150
12 60
33 99
9 18
62 210
5 50
27 54
44 112
18 36
10 70
36 108
25 75
52 156
8 40
14 28
39 78
21 63
47 141
3 12
58 116
11 55
26 52
35 70
19 38
42 126
8 32
50 100
13 65
37 74
24 96
56 112
6 36
30 60
45 135
17 85
53 106
14 70
41 82
19 76
34 110
7 21
55 200
12 48
28 62
41 135
15 30
9 81
60 180
23 92
14 28
38 76
5 10
31 124
46 92
12 60
29 87
18 72
54 108
7 35
33 66
21 105
40 80
13 39
59 177
4 24
26 78
48 96
11 44
35 105
20 40
52 156
9 18
43 129
27 54
61 183
2 16
36 72
50 150
